EC,id
1.-.-.-,1
1.1.-.-,2
1.1.1.-,3
1.1.1.1,4
1.1.1.10,5
1.1.1.100,6
1.1.1.102,7
1.1.1.103,8
1.1.1.105,9
1.1.1.108,10
1.1.1.130,11
1.1.1.133,12
1.1.1.14,13
1.1.1.145,14
1.1.1.146,15
1.1.1.169,16
1.1.1.17,17
1.1.1.179,18
1.1.1.18,19
1.1.1.184,20
1.1.1.193,21
1.1.1.195,22
1.1.1.2,23
1.1.1.201,24
1.1.1.205,25
1.1.1.209,26
1.1.1.21,27
1.1.1.210,28
1.1.1.219,29
1.1.1.22,30
1.1.1.23,31
1.1.1.234,32
1.1.1.239,33
1.1.1.25,34
1.1.1.26,35
1.1.1.261,36
1.1.1.262,37
1.1.1.267,38
1.1.1.27,39
1.1.1.270,40
1.1.1.271,41
1.1.1.28,42
1.1.1.282,43
1.1.1.284,44
1.1.1.290,45
1.1.1.298,46
1.1.1.3,47
1.1.1.30,48
1.1.1.300,49
1.1.1.302,50
1.1.1.304,51
1.1.1.305,52
1.1.1.307,53
1.1.1.31,54
1.1.1.330,55
1.1.1.336,56
1.1.1.34,57
1.1.1.346,58
1.1.1.35,59
1.1.1.357,60
1.1.1.37,61
1.1.1.372,62
1.1.1.38,63
1.1.1.399,64
1.1.1.40,65
1.1.1.408,66
1.1.1.41,67
1.1.1.42,68
1.1.1.44,69
1.1.1.47,70
1.1.1.49,71
1.1.1.51,72
1.1.1.53,73
1.1.1.54,74
1.1.1.58,75
1.1.1.62,76
1.1.1.67,77
1.1.1.79,78
1.1.1.8,79
1.1.1.81,80
1.1.1.82,81
1.1.1.85,82
1.1.1.86,83
1.1.1.9,84
1.1.1.94,85
1.1.1.95,86
1.1.1.n12,87
1.1.3.-,88
1.1.3.15,89
1.1.3.21,90
1.1.3.8,91
1.1.5.3,92
1.1.5.4,93
1.1.98.-,94
1.1.98.2,95
1.1.99.-,96
1.1.99.1,97
1.1.99.2,98
1.1.99.24,99
1.1.99.39,100
1.10.3.-,101
1.10.3.1,102
1.10.3.11,103
1.10.3.2,104
1.10.3.9,105
1.11.-.-,106
1.11.1.-,107
1.11.1.11,108
1.11.1.12,109
1.11.1.14,110
1.11.1.20,111
1.11.1.21,112
1.11.1.24,113
1.11.1.25,114
1.11.1.26,115
1.11.1.27,116
1.11.1.28,117
1.11.1.5,118
1.11.1.6,119
1.11.1.7,120
1.11.1.9,121
1.11.2.3,122
1.12.2.1,123
1.12.98.1,124
1.12.98.2,125
1.12.98.3,126
1.12.99.-,127
1.12.99.6,128
1.13.-.-,129
1.13.11.-,130
1.13.11.11,131
1.13.11.12,132
1.13.11.16,133
1.13.11.20,134
1.13.11.24,135
1.13.11.27,136
1.13.11.31,137
1.13.11.33,138
1.13.11.5,139
1.13.11.51,140
1.13.11.53,141
1.13.11.54,142
1.13.11.58,143
1.13.11.6,144
1.13.12.-,145
1.13.99.1,146
1.14.-.-,147
1.14.11.-,148
1.14.11.13,149
1.14.11.15,150
1.14.11.2,151
1.14.11.27,152
1.14.11.29,153
1.14.11.33,154
1.14.11.4,155
1.14.11.53,156
1.14.11.55,157
1.14.11.61,158
1.14.11.64,159
1.14.11.7,160
1.14.11.79,161
1.14.11.9,162
1.14.12.17,163
1.14.12.19,164
1.14.13.-,165
1.14.13.127,166
1.14.13.148,167
1.14.13.168,168
1.14.13.196,169
1.14.13.39,170
1.14.13.8,171
1.14.13.81,172
1.14.13.9,173
1.14.13.n7,174
